de	81978	66176.4433107175	
je	66728	66340.53349247188	
est	58085	61198.90450176895	<-- increase
la	51003	38876.57902392709	
il	48244	34197.10779764294	
pas	48105	45992.36802155233	
le	48040	43756.07918230328	
à	45586	32566.92273955659	
que	41656	39271.921195590956	
vous	38745	40888.8028274367	<-- increase
ne	37150	25969.947467877915	
l	35570	28720.608925181066	
a	33846	29949.271667735273	
un	33760	34589.64841020618	<-- increase
tu	31403	37811.278216940584	<-- increase
les	27018	24622.202545597807	
n	25968	18104.01316464943	
ce	25922	25432.521679554055	
en	25173	23620.86403892993	
j	25131	23755.593562950784	
une	23821	21295.088467442663	
d	23376	20690.3536299314	
tom	21549	209.63939406364227	
ai	20824	19227.848251197094	
nous	20666	12686.872325632	
elle	17828	11900.310731208023	
pour	16084	19239.810590197765	<-- increase
qu	15509	19858.700464244415	<-- increase
des	15219	15123.365194416887	
et	14819	32042.28702360404	<-- increase
c	13917	33353.17393396658	<-- increase
dans	13538	11856.397088203234	
me	12784	11519.652867898272	
suis	11653	10310.338392882742	
plus	11311	9597.031201760276	
du	11136	10632.76839715796	
s	10789	8672.242113927023	
qui	10599	13130.127525096292	<-- increase
au	9969	8997.573164486834	
se	9743	6903.893234229139	
y	9641	11858.653457535696	<-- increase
faire	9380	7523.312380094518	
ça	9054	21712.84709139887	<-- increase
m	8906	11228.08776757821	<-- increase
avec	8611	9670.584066613697	<-- increase
tout	8299	9838.793017784466	<-- increase
mon	8285	9455.130641518792	<-- increase
était	8209	7665.984960883616	
son	8156	4568.734031549731	
fait	8014	8366.21555654494	<-- increase
moi	7984	13324.553338987093	<-- increase
sont	7908	4944.393658736781	
t	7833	12178.711687345047	<-- increase
si	7712	11054.351308466014	<-- increase
on	7539	22772.759672501503	<-- increase
être	7213	8100.051524036347	<-- increase
te	7197	9098.465107495482	<-- increase
sur	7090	7367.085665361214	<-- increase
ils	7086	8033.661736428834	<-- increase
cette	6669	4869.849901531007	
as	6453	8357.46864333021	<-- increase
lui	6287	6060.369257750739	
veux	5844	6088.090366692412	<-- increase
par	5562	4212.904189871777	
ma	5529	5630.568705046684	<-- increase
sa	5416	3209.130236940286	
très	5405	3592.9040388520084	
bien	5280	11104.186428660756	<-- increase
été	5175	3347.791494471675	
êtes	5116	3415.112482121155	
temps	4970	2845.6756974827963	
mais	4910	12657.352488404133	<-- increase
votre	4878	5416.452387704348	<-- increase
es	4874	5709.5137752713335	<-- increase
avez	4792	5047.291263374283	<-- increase
dit	4770	5536.871675182818	<-- increase
ont	4667	3827.9763366259913	
peux	4607	4770.812399631579	<-- increase
comme	4387	6716.176836025342	<-- increase
où	4343	5207.740214195315	<-- increase
jamais	4303	3460.478638011921	
pourquoi	4252	5133.598385212785	<-- increase
cela	4249	1317.5366337391574	
ici	4224	5802.351235865691	<-- increase
peut	4110	5664.370470672663	<-- increase
toi	3935	7420.426713919092	<-- increase
chose	3902	3815.966243777015	
tous	3758	3196.6306671461725	
ses	3738	1898.7527009596802	
ton	3637	4331.484954190463	<-- increase
comment	3581	4155.050402648974	<-- increase
sais	3540	6757.539627633115	<-- increase
deux	3538	3126.786684511188	
beaucoup	3526	1604.9750056681034	
quand	3460	4628.677049635924	<-- increase
même	3434	3721.8314703036767	<-- increase
là	3389	6792.081577907838	<-- increase
dire	3341	4527.3951168661115	<-- increase
pense	3317	1765.6866026548194	
avoir	3290	3269.7855832637115	
rien	3280	5132.754733892711	<-- increase
avons	3248	1453.7146911586303	
vraiment	3243	3193.4232003349484	
avait	3201	2505.1788205984485	
quelque	3165	2680.8970644153464	
aime	3142	1871.409643317097	
elles	3087	976.3393670796543	
encore	3084	2694.4034445112466	
toujours	3080	2678.3024386573834	
peu	3050	2737.5689438925738	
mes	3005	2637.3734111717235	
maison	2955	1398.0416630084717	
aller	2942	2333.2251718230123	
va	2849	8204.978667226856	<-- increase
personne	2824	2037.8079277395939	
monde	2790	2206.7451250970303	
trop	2752	2120.211172479075	
besoin	2750	2535.494555298085	
marie	2655	132.122959800816	
parler	2598	2049.8578154621587	
aussi	2598	3316.47690844497	<-- increase
bon	2519	3798.189873745081	<-- increase
voir	2493	3298.2707537782812	<-- increase
sans	2490	2307.314729629611	
sommes	2482	1037.7110211276704	
train	2474	638.6758851948002	
fois	2464	2334.422997518023	
étais	2460	2227.89610040926	
ou	2452	3924.3276845582027	<-- increase
autre	2437	2919.3081520833953	<-- increase
ta	2397	2987.4767705403087	<-- increase
argent	2388	1224.4285680043997	
après	2355	2078.7170577884594	
notre	2352	2676.929515518584	<-- increase
faut	2316	2706.7876091719536	<-- increase
aux	2306	1973.6227761288785	
quoi	2269	7117.301202821603	<-- increase
vie	2246	2467.584603519496	<-- increase
mary	2215	139.9943857965997	
dois	2207	2546.963437866259	<-- increase
déjà	2198	1689.8773684689352	
travail	2160	977.5133158505117	
homme	2152	1901.0886600393187	
ces	2146	3072.6497384815416	<-- increase
aujourd	2137	900.2396303165747	
hui	2137	904.8996100137753	
soit	2097	1397.5800424748466	
maintenant	2050	3066.5531638478	<-- increase
vais	2046	4215.960436163366	<-- increase
père	2004	2187.8186832183915	<-- increase
quelle	2002	1024.7219743884198	
voiture	1997	956.9910995409787	
fais	1969	3304.824969458289	<-- increase
vu	1968	2324.0007201252233	<-- increase
quel	1944	1535.1708179067073	
chez	1875	1748.7260275314472	
livre	1872	317.66655790668773	
avant	1859	2195.0175758505316	<-- increase
hier	1813	544.9907937930108	
combien	1795	916.4878772027146	
bonne	1786	1629.0389657270034	
air	1780	1185.5847918947716	
