ich	105267	129125.7224661408	<-- increase
ist	74233	66619.13311594108	
die	71104	55107.62414944257	
tom	63315	309.37130224407605	
nicht	63187	60585.24480589289	
sie	59612	84183.08575167491	<-- increase
der	57475	38371.46068178501	
das	55649	68444.50871353672	<-- increase
zu	50553	31319.763745679593	
du	45791	64957.68939929971	<-- increase
es	43331	50267.946176774894	<-- increase
er	39431	29999.518489752463	
und	37976	50459.129275925225	<-- increase
in	37824	27400.02274179727	
ein	36089	29162.35729279861	
hat	26971	17348.41169643021	
dass	26164	18798.79606475807	
den	25959	20533.187502814013	
sich	24198	11698.100400494042	
eine	23682	18342.004006260147	
mit	22997	22271.525885917392	
auf	22911	19548.165252947634	
wir	22055	37876.45716326609	<-- increase
was	19708	37558.34282737112	<-- increase
mir	18962	22489.346932917746	<-- increase
wie	18198	20591.636884253538	<-- increase
habe	17949	13707.441377013829	
von	17187	15658.97769220144	
war	16616	15551.262259631962	
mich	16366	19708.370337183816	<-- increase
an	16238	13892.035751164647	
maria	15931	177.65970177663775	
als	15807	9612.619551784268	
dem	15396	10282.766791173095	
sind	15123	16193.7494339274	<-- increase
einen	14388	11762.934083484402	
für	14085	16185.808369190527	<-- increase
so	14080	17829.97044197878	<-- increase
kann	13724	10096.26970646156	
man	13622	6693.609953554735	
im	13580	8954.15589873108	
ihr	13480	14611.370417280092	<-- increase
haben	13258	16284.371921211767	<-- increase
wenn	13096	15266.657644438532	<-- increase
sein	12010	9632.212753095446	
aus	11391	9501.428920587365	
um	10939	9182.150943523031	
wird	10704	8723.550523748392	
noch	10695	12636.356855256536	<-- increase
nach	9825	7281.154394799406	
dich	9766	15240.381368843846	<-- increase
bin	9356	12704.650011993652	<-- increase
dir	8988	12243.659410357617	<-- increase
uns	8742	11551.340089228212	<-- increase
nur	8590	12383.595123413937	<-- increase
hast	8585	11196.460982333614	<-- increase
sehr	8490	4976.641683277914	
des	8138	3802.952315167942	
aber	7983	18447.91107755291	<-- increase
meine	7919	9235.505463626423	<-- increase
werden	7540	6538.955752194031	
vor	7209	5475.324823872932	
mehr	7194	6202.537655202582	
etwas	7122	6220.495468924384	
einem	7083	4618.5704256079	
mein	7064	8548.941448821168	<-- increase
immer	6952	5707.597036206329	
ihn	6774	9762.524839183514	<-- increase
hier	6737	16799.786334836554	<-- increase
schon	6556	9734.89622385146	<-- increase
auch	6495	9767.431001951643	<-- increase
keine	6471	7711.717352344645	<-- increase
seine	6347	2793.635124670927	
zum	6232	4855.591551902754	
über	6078	4336.859188457212	
einer	6057	4456.824303066344	
am	5998	3800.0746620058667	
diese	5971	4612.925193448419	
gut	5965	9923.909289469728	<-- increase
nichts	5930	6819.58197257869	<-- increase
muss	5818	6378.3732708218395	<-- increase
weiß	5682	7769.6792624834925	<-- increase
hatte	5680	3537.1703821330034	
bei	5559	6031.482403306117	<-- increase
ihm	5509	4821.814508229872	
viel	5463	3864.373699053545	
wurde	5360	3076.289854661639	
warum	5333	5579.1876606789765	<-- increase
will	5297	6500.2096462303525	<-- increase
bist	5262	8456.542050021422	<-- increase
leben	5225	3727.9131846246496	
alle	5196	5043.236552902986	
gibt	5063	4368.167425865363	
zeit	5037	3518.8823459171927	
ihre	5036	4533.970567619025	
oder	4996	7502.639338995188	<-- increase
werde	4969	4118.346246707509	
alles	4964	8069.5055621626525	<-- increase
wer	4947	4743.3945283431585	
heute	4909	3381.4311640062715	
tun	4894	4814.313740151676	
können	4880	5262.865961180052	<-- increase
dieses	4868	2010.017146388471	
bitte	4685	5809.022516508976	<-- increase
da	4639	12539.428690824672	<-- increase
gehen	4623	4733.739451613573	<-- increase
wo	4616	6478.3363372224485	<-- increase
machen	4610	4987.444676296196	<-- increase
menschen	4520	1516.8534389075971	
nie	4413	4136.14681162264	
dieser	4365	2982.946963021869	
kein	4260	3960.720042900727	
sagen	4248	5179.461194121875	<-- increase
viele	4242	1581.671397017289	
mal	4150	9618.469207392422	<-- increase
jetzt	4049	9581.578637347458	<-- increase
doch	4028	8306.621037741508	<-- increase
deine	3951	4226.863648191008	<-- increase
sagte	3817	2173.03698426406	
möchte	3722	1944.6959920974325	
würde	3716	3812.119920596848	<-- increase
ihnen	3613	6445.6600351962625	<-- increase
geld	3490	2203.024331696176	
zur	3486	2555.8906538653873	
ohne	3446	1969.7614518807534	
euch	3442	4751.492841886703	<-- increase
geht	3362	6414.823544208124	<-- increase
wieder	3351	5274.077801095678	<-- increase
macht	3305	3005.6851404664626	
morgen	3281	2464.8435948030105	
kannst	3173	3003.2006093210643	
einmal	3170	1222.9396943592578	
tag	3162	2293.929866832549	
hätte	3119	2712.3846662641395	
seinen	3117	1120.6021709779197	
durch	3072	2197.1746760880233	
sehen	3014	4736.55420525298	<-- increase
zwei	3011	2720.420080285016	
sei	2996	1799.1936712849674	
dann	2966	9392.659921013194	<-- increase
kommt	2961	3425.775327487429	<-- increase
selbst	2957	1987.6720909605542	
gesagt	2954	3158.955552328464	<-- increase
mann	2917	5112.064355582783	<-- increase
bis	2910	3166.0946481513165	<-- increase
haus	2810	1572.7082150370552	
frau	2799	3232.2649459983772	<-- increase
buch	2798	436.1767399433863	
müssen	2790	4176.418231011025	<-- increase
arbeit	2788	1279.7379633287405	
wissen	2778	4218.529461437457	<-- increase
gerade	2764	2239.2544567531218	
wäre	2754	3244.388828992694	<-- increase
welt	2744	1534.0721832380466	
gerne	2722	828.7955604389688	
drei	2718	1565.537669452868	
kommen	2707	3494.9490775419013	<-- increase
dein	2704	3461.7381295730343	<-- increase
mag	2696	1041.600370506524	
