de	66059	61770.48631734243	
la	54049	39235.16187073304	
que	51584	61806.06838821527	<-- increase
a	47299	41618.664207661976	
no	47264	53995.345295630366	<-- increase
el	46668	32641.332063502618	
en	35955	29108.46614124644	
es	32010	30242.042872191316	
un	26670	24356.215205521923	
tom	25129	192.67859802994366	
se	21087	13150.615708271525	
me	19444	17018.370856064357	
una	18119	16494.128022859255	
los	17503	13499.396398629173	
por	16844	19157.002077815396	<-- increase
lo	15852	26326.956172316095	<-- increase
y	15073	30120.020722274556	<-- increase
él	14415	3917.6332266668637	
con	13042	12891.166533074382	
las	12305	8615.324020017524	
su	12282	8668.320788348408	
mi	11431	10402.117107535125	
para	10947	12065.161886785427	<-- increase
está	10779	10745.47917569435	
ella	10046	3273.4908864466406	
qué	9854	18365.42389498814	<-- increase
le	9830	6185.241195237154	
más	9563	6497.579153135411	
te	9074	13604.36165421938	<-- increase
al	9041	6876.505563183491	
del	7777	7148.236089109951	
mary	7627	127.9839237156771	
yo	6025	8243.969497860036	<-- increase
si	5875	10164.166743017551	<-- increase
tiene	5779	3494.661573478268	
este	5612	3698.9655498298066	
esta	5486	4590.311172485844	
como	5460	6902.654202846537	<-- increase
muy	5423	4599.9702453100945	
tu	5012	7221.445510918046	<-- increase
estoy	4748	4710.068847629024	
fue	4514	3348.843903592004	
son	4483	2944.231419190499	
hay	4466	4494.0379542293895	<-- increase
tengo	4406	4137.501639237956	
eso	4387	8841.505562615745	<-- increase
todo	4376	5519.658066466789	<-- increase
pero	4277	9977.588527206828	<-- increase
ha	4268	4365.1305116202875	<-- increase
cuando	4219	3958.437289188396	
casa	4056	2461.2229793001984	
estaba	4042	2598.8514703077685	
quiero	3860	3461.650205284327	
aquí	3634	7107.775324187545	<-- increase
puede	3592	2686.352064939595	
hacer	3571	3372.2719500751177	
todos	3557	3043.573363403465	
puedo	3466	3528.7979262928216	<-- increase
ya	3449	4858.194508885942	<-- increase
tiempo	3408	2428.9143235626852	
vez	3330	3283.5996307739715	
sus	3329	2476.4022130493704	
nada	3261	3754.2509688215346	<-- increase
mucho	3243	2214.4967677063632	
era	3241	3214.1358597657363	
tan	3225	2409.391488735363	
he	3179	3325.66728633642	<-- increase
bien	3178	9021.914091997096	<-- increase
ser	3100	3467.7393054228246	<-- increase
algo	3030	4553.402651265199	<-- increase
nos	3017	3880.094520651578	<-- increase
gusta	2865	999.9018033676248	
solo	2843	2502.9505607151555	
dos	2826	2408.2777861954737	
esto	2806	5756.697805897476	<-- increase
ir	2685	1734.2298734316225	
favor	2650	2360.5981013365063	
siempre	2626	1804.8266876895573	
nunca	2614	2398.626772000311	
hace	2550	2137.0904118695103	
ahora	2450	4708.245985729437	<-- increase
ese	2447	2708.381133413123	<-- increase
cómo	2436	3782.3804195142825	<-- increase
ellos	2435	1421.3535991103222	
o	2434	3690.410509190541	<-- increase
sin	2418	2036.293079243346	
mañana	2409	1172.754562116557	
día	2400	1691.9736459485273	
trabajo	2374	1528.3367354240338	
sé	2295	3998.179224396198	<-- increase
dinero	2286	1261.4365517726083	
soy	2209	3315.6794214454007	<-- increase
mejor	2176	2142.742734311467	
están	2176	2143.1779002821904	
quién	2140	2508.1499882023954	<-- increase
hoy	2136	1004.756321529921	
había	2132	1181.9784689700834	
años	2091	1769.3848369628329	
dijo	2087	1476.627736021328	
dónde	2080	2419.563090369577	<-- increase
tienes	2049	2963.565682097174	<-- increase
vida	2025	1976.5738025276878	
tú	2019	4055.106991995954	<-- increase
voy	2017	2704.6242005325407	<-- increase
verdad	1990	2512.288900101724	<-- increase
va	1989	2270.6025551391967	<-- increase
estás	1985	4053.4162916134014	<-- increase
esa	1976	2407.388113544216	<-- increase
creo	1960	2796.3684692418333	<-- increase
nadie	1955	1516.0972895659736	
hablar	1939	1403.0121593072242	
antes	1928	1760.6573416610952	
poco	1918	1643.0013569839286	
libro	1894	286.31342112315815	
mis	1858	1675.1214408007952	
puedes	1825	2058.8072771879397	<-- increase
has	1803	2013.0938978263168	<-- increase
maría	1802	80.8312731990308	
sobre	1799	2034.1414252769896	<-- increase
hasta	1784	1837.8316089802288	<-- increase
ver	1758	1974.6365080950584	<-- increase
hombre	1729	2061.9195197415233	<-- increase
usted	1700	2429.544508357326	<-- increase
sabe	1675	1190.2836921076373	
tres	1673	1044.4305642533884	
quiere	1649	1453.3818145555913	
uno	1645	1737.8498096177173	<-- increase
padre	1637	1496.0989956224903	
mundo	1612	1301.4186341272173	
tarde	1611	801.5934470571696	
noche	1586	1631.2744399358319	<-- increase
así	1585	4388.342586843857	<-- increase
parece	1570	1531.3828972191002	
mí	1563	2201.5368804078826	<-- increase
estar	1562	1708.6114915625326	<-- increase
tenía	1523	1170.8237145871976	
demasiado	1506	781.327606627982	
gente	1493	1556.0632546624076	<-- increase
todavía	1472	688.4970347176977	
eres	1465	2862.6200706958	<-- increase
mismo	1464	1502.2573999711403	<-- increase
porque	1454	2858.2877516983726	<-- increase
ni	1443	1744.3966398883838	<-- increase
después	1439	1292.1350934184436	
hizo	1425	836.7951506370872	
quieres	1413	2280.9530583391524	<-- increase
días	1387	1032.46027660685	
ayer	1376	234.02258870033643	
tomás	1340	6.363093527471957	
decir	1337	2014.118955446244	<-- increase
coche	1327	394.1652776524998	
inglés	1325	105.40686846420111	
nuevo	1323	1144.38012909955	
hecho	1317	1629.536999504572	<-- increase
alguien	1316	1958.164670240255	<-- increase
desde	1309	1286.9759590766407	
hora	1303	832.0776291692781	
nosotros	1295	1579.93613747115	<-- increase
cada	1294	899.0174375473158	
